replication,method,asep
0,naive,47.071082989363234
0,ar1,34.794156448275515
0,random_forest,29.70874374605839
1,naive,47.93805511899
1,ar1,36.619585622849996
1,random_forest,32.769630332472374
2,naive,57.204718793640566
2,ar1,48.40829848078429
2,random_forest,32.90221525434516
3,naive,56.04132989676286
3,ar1,35.35125864273184
3,random_forest,32.81849255053029
4,naive,46.48929049014189
4,ar1,30.650492274905332
4,random_forest,27.232234293983336
5,naive,56.74919262549423
5,ar1,49.99879472041719
5,random_forest,46.030655739322526
6,naive,53.513062198883624
6,ar1,41.054260300928696
6,random_forest,38.375324241938266
7,naive,43.68126716080038
7,ar1,31.417337210043204
7,random_forest,26.585877510877392
8,naive,38.562156870295645
8,ar1,29.360865247354162
8,random_forest,25.37051003639137
9,naive,67.35414274412787
9,ar1,42.667600284178505
9,random_forest,38.77129166519405
10,naive,53.02581523235404
10,ar1,35.46924726698612
10,random_forest,35.32941717058218
11,naive,65.61319325991627
11,ar1,45.03167325547114
11,random_forest,42.879962504224615
12,naive,67.42233989216952
12,ar1,48.4899759627304
12,random_forest,41.53464583364176
13,naive,53.99176342248892
13,ar1,35.6864695091733
13,random_forest,31.88454001458714
14,naive,45.34301413470567
14,ar1,34.527345337897785
14,random_forest,28.893746114062353
15,naive,43.79666382126839
15,ar1,30.016697719447492
15,random_forest,29.290728015989462
16,naive,45.90727470276026
16,ar1,37.233248337656015
16,random_forest,32.599193192814845
17,naive,46.73215095309416
17,ar1,45.34734282408752
17,random_forest,47.91123998555257
18,naive,50.260146888055445
18,ar1,34.767771420832844
18,random_forest,30.27842293247462
19,naive,46.447055180903554
19,ar1,37.79147875416698
19,random_forest,34.35213268986742
20,naive,47.148351853688176
20,ar1,32.51329247231498
20,random_forest,31.761192617807136
21,naive,43.0982747521542
21,ar1,33.59432420376536
21,random_forest,28.514264282466314
22,naive,39.39314461683809
22,ar1,26.982340251347917
22,random_forest,26.241414555735613
23,naive,46.633611736548765
23,ar1,29.70982661100757
23,random_forest,28.902468398087226
24,naive,32.01472586185943
24,ar1,25.864626268067074
24,random_forest,24.312207803599488
25,naive,41.148213785271345
25,ar1,31.40129575922442
25,random_forest,26.933584466208092
26,naive,55.8725859237814
26,ar1,37.24180634182346
26,random_forest,34.57082898227501
27,naive,43.14189785850479
27,ar1,36.756986265098384
27,random_forest,30.403740886991887
28,naive,56.05480341727431
28,ar1,32.204932059235226
28,random_forest,30.213226259883438
29,naive,58.01969055856335
29,ar1,40.53067154593176
29,random_forest,30.691207490786972
30,naive,61.365920293965345
30,ar1,44.66053382590266
30,random_forest,39.58707197703948
31,naive,41.4808052310771
31,ar1,39.55591345256793
31,random_forest,39.18109191842455
32,naive,53.14544799990499
32,ar1,40.05974091422322
32,random_forest,35.164349547820436
33,naive,50.946637105374236
33,ar1,30.991715256362763
33,random_forest,30.21897055178675
34,naive,51.661148879337546
34,ar1,36.74122341004773
34,random_forest,31.775046906188056
35,naive,85.11552046939471
35,ar1,55.18003042806252
35,random_forest,54.12680445962748
36,naive,56.38771387854636
36,ar1,39.75346356480415
36,random_forest,32.17974345816852
37,naive,49.658838480225114
37,ar1,37.48811660954743
37,random_forest,28.738208775716682
38,naive,38.058430875576036
38,ar1,26.297642051940098
38,random_forest,24.66392389994304
39,naive,50.87222395880223
39,ar1,39.456535095974274
39,random_forest,38.507146968620205
40,naive,44.342020983092006
40,ar1,34.153154085055604
40,random_forest,26.701076931027295
41,naive,62.55262371864942
41,ar1,38.730949062906646
41,random_forest,36.83488796164663
42,naive,51.05601639086502
42,ar1,42.23601883803337
42,random_forest,42.11901927715492
43,naive,50.2609803117557
43,ar1,44.95493982380393
43,random_forest,30.092789943317076
44,naive,41.20115401697111
44,ar1,29.13666453549174
44,random_forest,26.57656866027623
45,naive,57.368502576474455
45,ar1,42.34116615813591
45,random_forest,35.906805787846174
