phi,N,T,rejection_rate,mean_jdm,std_jdm,mean_loss_diff,mean_sigma_hat
0.5,50,50,0.086,0.08690726301029664,1.1665112655461438,0.005283871094831749,3.004234168374494
0.5,50,100,0.09,-0.00033552686504129733,1.1579571142348553,0.00011225090057080591,3.1417174190370067
0.5,50,500,0.045,0.017868484700651218,1.0036820640203665,0.0003435981550423891,3.284123844636468
0.5,50,1000,0.061,0.0034061940144802486,1.0495341536854155,9.464165561343377e-05,3.3241509807004004
0.5,100,50,0.099,0.013794992900377646,1.1973230209292356,0.0006005031594100024,3.0123945962828964
0.5,100,100,0.077,-0.015527798630914426,1.150788749029745,-0.0006390172849291616,3.145875656320948
0.5,100,500,0.078,-0.0008128635614816537,1.0883083311833002,3.0148974886530505e-06,3.2842447394375514
0.5,100,1000,0.07,-0.033360785000064425,1.0428439039628083,-0.0003262552584285366,3.3259451054324503
0.8,50,50,0.205,0.01373033748275899,1.5616573633769155,-0.0022780286607176924,7.9295579807035255
0.8,50,100,0.144,-0.017876229438107603,1.3973420221679669,-0.0004906190556879449,8.835255937153239
0.8,50,500,0.086,-0.037054283424179726,1.1688458872521856,-0.0021226417998586903,10.05365476153583
0.8,50,1000,0.074,0.00896616700426312,1.104969946053325,0.0002385777059795731,10.46275089473616
0.8,100,50,0.192,-0.007959539784644412,1.5881112461504006,-0.0009596005425541017,8.033778830206026
0.8,100,100,0.13,0.03871842247738442,1.3284485297458815,0.004149114367702087,8.844046782971603
0.8,100,500,0.1,-0.0159141477986225,1.2124076742708456,-0.0006338438024734452,10.04381343272483
0.8,100,1000,0.101,-0.04003261749044276,1.1961290725845515,-0.0013391273653145883,10.43664062144307
