replication,method,asep,aaep
0,mean,11492.799599522566,60.88874745577605
0,median,11706.531846987024,61.300313401545296
0,ar1,60769.817286006975,75.33185230799556
1,mean,12598.424887561338,62.84762883501729
1,median,12560.66132393555,62.17807913710701
1,ar1,15891.655053719795,70.403648282945
2,mean,8654.034610176355,63.250053139445576
2,median,8593.625381606984,62.61854375720926
2,ar1,10423.617034017714,69.27152823249595
3,mean,9765.300096903795,61.25258450073786
3,median,9770.0040069493,61.166274056270005
3,ar1,12311.979982164783,69.14857167743196
4,mean,10092.83383895612,63.16803957832243
4,median,9893.527989128981,62.28633982463859
4,ar1,12492.953151306603,69.65734119889434
5,mean,11807.448568368642,64.33756230026407
5,median,10711.728623866986,60.99018054864426
5,ar1,13149.889815374449,68.96710118653688
6,mean,15440.967167407594,67.3614942899876
6,median,15671.248037800873,68.31554498805099
6,ar1,16287.488711805267,70.50232109591799
7,mean,9402.289907628428,62.01899526433437
7,median,9294.094852379749,61.49090151722819
7,ar1,17827.432709595476,69.88163515507865
8,mean,10236.217554383942,58.65968320546903
8,median,10223.612718744183,58.67861494742926
8,ar1,11471.039596871391,64.16156853084445
9,mean,10857.985209746266,58.02946870046324
9,median,10582.75153243646,56.93907551953938
9,ar1,11403.88245142551,61.28440713189673
10,mean,10623.339667455502,66.19803573890344
10,median,10653.513882802234,65.88602367546581
10,ar1,11296.434397977662,69.75538769997415
11,mean,12651.306552074346,68.15644401130459
11,median,13011.272412518332,67.8165739373972
11,ar1,13834.650995321012,71.76554974948972
12,mean,9244.849559820455,57.395820097911304
12,median,9072.670625607057,56.47914167015588
12,ar1,9847.622650702055,60.38640450142588
13,mean,14737.617049610964,65.15730023253978
13,median,13927.569370816927,62.96777239721938
13,ar1,15919.99865593032,70.7652156963101
14,mean,10080.013360317795,63.27682827001457
14,median,9882.05595104792,60.748610780240014
14,ar1,13575.996206872083,71.11346767676744
15,mean,7120.368974764412,57.99562500490783
15,median,6925.896914359482,56.830707469538105
15,ar1,7887.021983741187,61.07583772531363
16,mean,22061.219275366395,69.8182142575941
16,median,22056.21311136767,67.35180936270248
16,ar1,24714.26502652789,77.61022501907746
17,mean,11337.42181107554,64.76328666286217
17,median,11280.245924653735,63.90209990546052
17,ar1,16384.930890544718,70.64958513377765
18,mean,12814.128510733439,68.1487925280071
18,median,12769.619214141887,67.05814801759941
18,ar1,13481.134932000146,72.0778819028621
19,mean,17091.8776440613,69.4882843371801
19,median,16005.464501563827,67.03823129596991
19,ar1,20323.350466946267,76.59490425460588
20,mean,9579.968320068769,61.21007772597148
20,median,9542.3067369819,60.16464364131085
20,ar1,11011.35344129289,65.75003364143814
21,mean,7790.843607172683,58.92698694355283
21,median,7294.142063097705,56.62749953328598
21,ar1,9367.69073020279,64.62539956245405
22,mean,7903.179940520924,58.55257886448929
22,median,7968.789494927549,57.409926225878564
22,ar1,9366.329815100396,63.42640396675434
23,mean,20438.315173695875,70.18958507599193
23,median,20496.849975855563,67.49815200284952
23,ar1,21276.842937425645,73.45402653635522
24,mean,11238.770034270574,60.998962480545615
24,median,11158.773664583352,60.09525241257567
24,ar1,63284.36284412159,80.19464496742322
