replication,method,asep
0,naive,10.947312638170017
0,ar1,9.117489497297298
0,random_forest,10.273935476633612
1,naive,11.09348498105339
1,ar1,8.909905363306597
1,random_forest,9.989189719921699
2,naive,11.450831615534012
2,ar1,9.28060484546078
2,random_forest,9.925912106670015
3,naive,11.581959508707344
3,ar1,9.633884039833113
3,random_forest,10.09173650882753
4,naive,11.020465901543457
4,ar1,9.101861583317744
4,random_forest,9.80801706126473
5,naive,12.831042714180953
5,ar1,10.613539363671999
5,random_forest,11.205348712260417
6,naive,11.997092749873078
6,ar1,9.438732823444441
6,random_forest,10.45987945189769
7,naive,12.135420595206055
7,ar1,10.13045988793531
7,random_forest,11.448130827531445
8,naive,11.926661901008284
8,ar1,9.332865192151207
8,random_forest,10.29489207503554
9,naive,12.448871173335936
9,ar1,10.437774242282847
9,random_forest,11.39281393061562
10,naive,12.480563521028744
10,ar1,10.083846511863626
10,random_forest,10.969690670752495
11,naive,11.729755429520626
11,ar1,9.304090223899781
11,random_forest,10.333341909521067
12,naive,10.671025603515714
12,ar1,8.789882493046044
12,random_forest,9.937493976489236
13,naive,10.302935113750067
13,ar1,9.185515001885058
13,random_forest,9.92228147949276
14,naive,10.38980313059287
14,ar1,8.034866139410152
14,random_forest,8.530022415996804
15,naive,11.062771258764228
15,ar1,8.732378717810889
15,random_forest,9.67012273944031
16,naive,10.709753542220735
16,ar1,8.627104608434419
16,random_forest,9.008623992571508
17,naive,10.786761076989123
17,ar1,8.889187580879447
17,random_forest,9.573334189131362
18,naive,10.334067941391426
18,ar1,8.75566483953894
18,random_forest,9.624335747124608
19,naive,10.912427967540735
19,ar1,8.79437902572877
19,random_forest,9.577665314793155
20,naive,11.376343669488872
20,ar1,9.093242613738363
20,random_forest,9.77647135601546
21,naive,11.534142158994525
21,ar1,9.257721916318744
21,random_forest,9.758643199526425
22,naive,12.10657903817085
22,ar1,9.692556498923558
22,random_forest,10.954788891960787
23,naive,10.682441043690279
23,ar1,8.763575227582347
23,random_forest,9.83278120965241
24,naive,12.607571157414563
24,ar1,11.3373112346769
24,random_forest,11.808052889831211
25,naive,11.344969662583809
25,ar1,9.23556024770142
25,random_forest,10.690091258227122
26,naive,11.835740627976943
26,ar1,10.202103300842555
26,random_forest,11.403736720429274
27,naive,9.948496819389819
27,ar1,9.071509196329508
27,random_forest,9.64815013640756
28,naive,11.770359018072734
28,ar1,9.968631228351947
28,random_forest,10.930648452653264
29,naive,10.74652296130423
29,ar1,8.701421644687318
29,random_forest,9.481928781548547
30,naive,11.048708384294642
30,ar1,8.976733358955595
30,random_forest,9.535604382109787
31,naive,12.363277571657841
31,ar1,9.733011416967322
31,random_forest,10.570948987433264
32,naive,11.637358677006565
32,ar1,9.448277296974412
32,random_forest,10.133766742989414
33,naive,10.046167142668594
33,ar1,9.079667250998241
33,random_forest,9.769066870058088
34,naive,11.28362033610219
34,ar1,9.62121124637585
34,random_forest,11.037650740670268
