design,replication,method,asep
random_rows,0,naive,47.071082989363234
random_rows,0,ar1,34.794156448275515
random_rows,0,random_forest,29.708757794758856
random_rows,1,naive,47.93805511899
random_rows,1,ar1,36.619585622849996
random_rows,1,random_forest,32.76958724925257
random_rows,2,naive,57.204718793640566
random_rows,2,ar1,48.40829848078429
random_rows,2,random_forest,32.90223107880309
random_rows,3,naive,56.04132989676286
random_rows,3,ar1,35.35125864273184
random_rows,3,random_forest,32.818490775237905
random_rows,4,naive,46.48929049014189
random_rows,4,ar1,30.650492274905332
random_rows,4,random_forest,27.23224994320609
random_rows,5,naive,56.74919262549423
random_rows,5,ar1,49.99879472041719
random_rows,5,random_forest,46.03063695847008
random_rows,6,naive,53.513062198883624
random_rows,6,ar1,41.054260300928696
random_rows,6,random_forest,38.37534133561203
random_rows,7,naive,43.68126716080038
random_rows,7,ar1,31.417337210043204
random_rows,7,random_forest,26.585936082758828
random_rows,8,naive,38.562156870295645
random_rows,8,ar1,29.360865247354162
random_rows,8,random_forest,25.370483133911833
random_rows,9,naive,67.35414274412787
random_rows,9,ar1,42.667600284178505
random_rows,9,random_forest,38.77129151645843
random_rows,10,naive,53.02581523235404
random_rows,10,ar1,35.46924726698612
random_rows,10,random_forest,35.32940251760739
random_rows,11,naive,65.61319325991627
random_rows,11,ar1,45.03167325547114
random_rows,11,random_forest,42.879962504224615
random_rows,12,naive,67.42233989216952
random_rows,12,ar1,48.4899759627304
random_rows,12,random_forest,41.53463769866384
random_rows,13,naive,53.99176342248892
random_rows,13,ar1,35.6864695091733
random_rows,13,random_forest,31.88445330478742
random_rows,14,naive,45.34301413470567
random_rows,14,ar1,34.527345337897785
random_rows,14,random_forest,28.893765657138324
random_rows,15,naive,43.79666382126839
random_rows,15,ar1,30.016697719447492
random_rows,15,random_forest,29.29119911239692
random_rows,16,naive,45.90727470276026
random_rows,16,ar1,37.233248337656015
random_rows,16,random_forest,32.599202250401284
random_rows,17,naive,46.73215095309416
random_rows,17,ar1,45.34734282408752
random_rows,17,random_forest,47.911241033986045
random_rows,18,naive,50.260146888055445
random_rows,18,ar1,34.767771420832844
random_rows,18,random_forest,30.278425098882103
random_rows,19,naive,46.447055180903554
random_rows,19,ar1,37.79147875416698
random_rows,19,random_forest,34.351160890050245
random_rows,20,naive,47.148351853688176
random_rows,20,ar1,32.51329247231498
random_rows,20,random_forest,31.76137592582316
random_rows,21,naive,43.0982747521542
random_rows,21,ar1,33.59432420376536
random_rows,21,random_forest,28.514369866671966
random_rows,22,naive,39.39314461683809
random_rows,22,ar1,26.982340251347917
random_rows,22,random_forest,26.241393592677824
random_rows,23,naive,46.633611736548765
random_rows,23,ar1,29.70982661100757
random_rows,23,random_forest,28.902464852546732
random_rows,24,naive,32.01472586185943
random_rows,24,ar1,25.864626268067074
random_rows,24,random_forest,24.31220855345428
random_rows,25,naive,41.148213785271345
random_rows,25,ar1,31.40129575922442
random_rows,25,random_forest,26.93359719583016
random_rows,26,naive,55.8725859237814
