test_year,n_train_rows,n_test_rows,method,asep
2021,12562,250,naive,235.48616467385128
2021,12562,250,ar1_hybrid,93.2429156087787
2021,12562,250,ar1_per_unit_only,93.2429156087787
2021,12562,250,random_forest,451.16897142672883
2022,12812,250,naive,54.64399368835909
2022,12812,250,ar1_hybrid,40.2121858284135
2022,12812,250,ar1_per_unit_only,40.2121858284135
2022,12812,250,random_forest,46.47467718522509
2023,13062,245,naive,64.92538638052285
2023,13062,245,ar1_hybrid,38.99191195194948
2023,13062,245,ar1_per_unit_only,38.99191195194948
2023,13062,245,random_forest,37.79373062744608
2024,13307,242,naive,29.085579239567533
2024,13307,242,ar1_hybrid,12.934574977983688
2024,13307,242,ar1_per_unit_only,12.934574977983688
2024,13307,242,random_forest,12.935424453696504
2025,13549,228,naive,11.990845986996739
2025,13549,228,ar1_hybrid,6.267108223969714
2025,13549,228,ar1_per_unit_only,6.267108223969714
2025,13549,228,random_forest,5.770246988892755
