replication,hold_years,min_hold_year,max_hold_year,contains_crisis_year,asep_naive,asep_ar1,asep_rf
0,"[np.int64(1967), np.int64(1968), np.int64(1969), np.int64(1970), np.int64(1971), np.int64(1972)]",1967,1972,False,50.8828384967288,38.73357272760046,36.489210533830615
1,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
2,"[np.int64(2000), np.int64(2001), np.int64(2002), np.int64(2003), np.int64(2004), np.int64(2005)]",2000,2005,False,40.61524196541723,25.902590983704975,26.755404153564815
3,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
4,"[np.int64(1991), np.int64(1992), np.int64(1993), np.int64(1994), np.int64(1995), np.int64(1996)]",1991,1996,False,83.97768043760246,54.99903211045471,67.37064188273845
5,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
6,"[np.int64(1969), np.int64(1970), np.int64(1971), np.int64(1972), np.int64(1973), np.int64(1974)]",1969,1974,False,61.49580062053276,46.77509251331203,46.00890247664489
7,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
8,"[np.int64(2007), np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",2007,2012,True,42.757604646320395,28.9948570439541,28.666778831765583
9,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
10,"[np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022)]",2017,2022,True,79.66310326826276,49.37650105261494,47.41400244067638
11,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
12,"[np.int64(1980), np.int64(1981), np.int64(1982), np.int64(1983), np.int64(1984), np.int64(1985)]",1980,1985,False,42.2954773651718,27.998669506897382,30.683164211678346
13,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
14,"[np.int64(1983), np.int64(1984), np.int64(1985), np.int64(1986), np.int64(1987), np.int64(1988)]",1983,1988,False,34.595995061493255,23.856453567877605,26.175464280820087
15,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
16,"[np.int64(1991), np.int64(1992), np.int64(1993), np.int64(1994), np.int64(1995), np.int64(1996)]",1991,1996,False,83.97768043760246,54.99903211045471,67.37064188273845
17,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
18,"[np.int64(1972), np.int64(1973), np.int64(1974), np.int64(1975), np.int64(1976), np.int64(1977)]",1972,1977,False,64.57752330062682,43.5486606882736,43.99979501931686
19,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
20,"[np.int64(1987), np.int64(1988), np.int64(1989), np.int64(1990), np.int64(1991), np.int64(1992)]",1987,1992,False,82.2367238613389,54.046540044307996,54.67567882360251
21,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
22,"[np.int64(1991), np.int64(1992), np.int64(1993), np.int64(1994), np.int64(1995), np.int64(1996)]",1991,1996,False,83.97768043760246,54.99903211045471,67.37064188273845
23,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
24,"[np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021)]",2016,2021,True,73.25847044615536,46.29985517046925,41.40505864459235
25,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
26,"[np.int64(1990), np.int64(1991), np.int64(1992), np.int64(1993), np.int64(1994), np.int64(1995)]",1990,1995,False,92.72242539090473,58.93527903986021,78.94585111826294
27,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
28,"[np.int64(1999), np.int64(2000), np.int64(2001), np.int64(2002), np.int64(2003), np.int64(2004)]",1999,2004,False,41.291651406779316,26.195306670583864,27.467871942482436
29,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
30,"[np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022)]",2017,2022,True,79.66310326826276,49.37650105261494,47.41400244067638
31,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
32,"[np.int64(1973), np.int64(1974), np.int64(1975), np.int64(1976), np.int64(1977), np.int64(1978)]",1973,1978,False,64.4022597616987,41.281103154371095,42.91884395927278
33,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
34,"[np.int64(1994), np.int64(1995), np.int64(1996), np.int64(1997), np.int64(1998), np.int64(1999)]",1994,1999,False,68.8958099817459,48.61768199673503,48.36605385454021
35,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]",2020,2025,True,86.0430613106729,53.44937685836431,56.186263103176294
36,"[np.int64(2004), np.int64(2005), np.int64(2006), np.int64(2007), np.int64(2008), np.int64(2009)]",2004,2009,True,31.987834319430696,22.107233503526786,23.880112146830882
